Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Abstract
Age at onset of mental disorders worldwide: large-scale meta-analysis of 192 epidemiological studies.,Solmi M; Radua J; Olivola M; Croce E; Soardo L; Salazar de Pablo G; Il Shin J; Kirkbride JB; Jones P; Kim JH; Kim JY; Carvalho AF; Seeman MV; Correll CU; Fusar-Poli P,"Promotion of good mental health, prevention, and early intervention before/at the onset of mental disorders improve outcomes. However, the range and peak ages at onset for mental disorders are not fully established. To provide robust, global epidemiological estimates of age at onset for mental disorders, we conducted a PRISMA/MOOSE-compliant systematic review with meta-analysis of birth cohort/cross-sectional/cohort studies, representative of the general population, reporting age at onset for any ICD/DSM-mental disorders, identified in PubMed/Web of Science (up to 16/05/2020) (PROSPERO:CRD42019143015). Co-primary outcomes were the proportion of individuals with onset of mental disorders before age 14, 18, 25, and peak age at onset, for any mental disorder and across International Classification of Diseases 11 diagnostic blocks. Median age at onset of specific disorders was additionally investigated. Across 192 studies (n = 708,561) included, the proportion of individuals with onset of any mental disorders before the ages of 14, 18, 25 were 34.6%, 48.4%, 62.5%, and peak age was 14.5 years (k = 14, median = 18, interquartile range (IQR) = 11-34). For diagnostic blocks, the proportion of individuals with onset of disorder before the age of 14, 18, 25 and peak age were as follows: neurodevelopmental disorders: 61.5%, 83.2%, 95.8%, 5.5 years (k = 21, median=12, IQR = 7-16), anxiety/fear-related disorders: 38.1%, 51.8%, 73.3%, 5.5 years (k = 73, median = 17, IQR = 9-25), obsessive-compulsive/related disorders: 24.6%, 45.1%, 64.0%, 14.5 years (k = 20, median = 19, IQR = 14-29), feeding/eating disorders/problems: 15.8%, 48.1%, 82.4%, 15.5 years (k = 11, median = 18, IQR = 15-23), conditions specifically associated with stress disorders: 16.9%, 27.6%, 43.1%, 15.5 years (k = 16, median = 30, IQR = 17-48), substance use disorders/addictive behaviours: 2.9%, 15.2%, 48.8%, 19.5 years (k = 58, median = 25, IQR = 20-41), schizophrenia-spectrum disorders/primary psychotic states: 3%, 12.3%, 47.8%, 20.5 years (k = 36, median = 25, IQR = 20-34), personality disorders/related traits: 1.9%, 9.6%, 47.7%, 20.5 years (k = 6, median = 25, IQR = 20-33), and mood disorders: 2.5%, 11.5%, 34.5%, 20.5 years (k = 79, median = 31, IQR = 21-46). No significant difference emerged by sex, or definition of age of onset. Median age at onset for specific mental disorders mapped on a time continuum, from phobias/separation anxiety/autism spectrum disorder/attention deficit hyperactivity disorder/social anxiety (8-13 years) to anorexia nervosa/bulimia nervosa/obsessive-compulsive/binge eating/cannabis use disorders (17-22 years), followed by schizophrenia, personality, panic and alcohol use disorders (25-27 years), and finally post-traumatic/depressive/generalized anxiety/bipolar/acute and transient psychotic disorders (30-35 years), with overlap among groups and no significant clustering. These results inform the timing of good mental health promotion/preventive/early intervention, updating the current mental health system structured around a child/adult service schism at age 18.",2022,Jan,Mol Psychiatry,27,1,281-295,,10.1038/s41380-021-01161-7,34079068,#2,Solmi 2022,,Prevalence rates,
Disentangling binge eating disorder and food addiction: a systematic review and meta-analysis.,di Giacomo E; Aliberti F; Pescatore F; Santorelli M; Pessina R; Placenti V; Colmegna F; Clerici M,"BACKGROUND AND AIMS: The concept of ""Food Addiction"" has been based on criteria of Substance Use Disorder. Several studies suggested a relationship between food addiction and eating disorders, but little is known about its extent or role. We aim at exploring if food addiction is coincident with a specific eating disorder (binge eating disorder appears the closest) or it is a separate diagnostic entity that afflicts in comorbidity with eating disorders or other conditions like obesity or even in the general population. METHODS: This systematic review and meta-analysis analyzed observational studies with a comparative estimation on rates of subjects affected by binge eating disorder and food addiction. RESULTS: Binge eating disorder shows higher comorbidity with food addiction compared to other eating disorders (OR = 1.33, 95% CI, 0.64-2.76; c(2) = 4.42; p = 0.44;I(2) = 0%), or each eating disorder [anorexia nervosa purging type (OR = 1.93, 95% CI, 0.20-18.92; p = 0.57) and restrictive type (OR = 8.75, 95% CI, 1.08-70.70; p = 0.04)], obese patients (OR = 5.72, 95% CI, 3.25-10.09; p =  < 0.0001) and individuals from the general population (OR = 55.41, 95% CI, 8.16-376.10; c(2) = 18.50; p < 0.0001; I(2) = 0%)but has decreased prevalence when compared to bulimia nervosa (OR = 0.85, 95% CI, 0.33-2.22; c(2) = 0.35; p = 0.74; I(2) = 0%). DISCUSSION AND CONCLUSIONS: Our data show that the prevalence of food addiction in binge eating disorder is higher than in other eating disorders except in bulimia nervosa. Moreover, it is a separate diagnostic reality and can be detected in people without mental illness and in the general population. Food addiction might have a prognostic value, since in comorbidity, and should be addressed to boost treatment efficacy and patient's recovery. LEVEL OF EVIDENCE: I: Evidence obtained systematic reviews and meta-analyses.",2022,Aug,Eat Weight Disord,27,6,1963-1970,,10.1007/s40519-021-01354-7,35041154,#5,diGiacomo 2022,,Binge-eating disorder; Bulimia; ED phenomenology,
Medical cannabinoids: a pharmacology-based systematic review and meta-analysis for all relevant medical indications.,Bilbao A; Spanagel R,"BACKGROUND: Medical cannabinoids differ in their pharmacology and may have different treatment effects. We aimed to conduct a pharmacology-based systematic review (SR) and meta-analyses of medical cannabinoids for efficacy, retention and adverse events. METHODS: We systematically reviewed (registered at PROSPERO: CRD42021229932) eight databases for randomized controlled trials (RCTs) of dronabinol, nabilone, cannabidiol and nabiximols for chronic pain, spasticity, nausea /vomiting, appetite, ALS, irritable bowel syndrome, MS, Chorea Huntington, epilepsy, dystonia, Parkinsonism, glaucoma, ADHD, anorexia nervosa, anxiety, dementia, depression, schizophrenia, PTSD, sleeping disorders, SUD and Tourette. Main outcomes and measures included patient-relevant/disease-specific outcomes, retention and adverse events. Data were calculated as standardized mean difference (SMD) and ORs with confidence intervals (CI) via random effects. Evidence quality was assessed by the Cochrane Risk of Bias and GRADE tools. RESULTS: In total, 152 RCTs (12,123 participants) were analysed according to the type of the cannabinoid, outcome and comparator used, resulting in 84 comparisons. Significant therapeutic effects of medical cannabinoids show a large variability in the grade of evidence that depends on the type of cannabinoid. CBD has a significant therapeutic effect for epilepsy (SMD - 0.5[CI - 0.62, - 0.38] high grade) and Parkinsonism (- 0.41[CI - 0.75, - 0.08] moderate grade). There is moderate evidence for dronabinol for chronic pain (- 0.31[CI - 0.46, - 0.15]), appetite (- 0.51[CI - 0.87, - 0.15]) and Tourette (- 1.01[CI - 1.58, - 0.44]) and moderate evidence for nabiximols on chronic pain (- 0.25[- 0.37, - 0.14]), spasticity (- 0.36[CI - 0.54, - 0.19]), sleep (- 0.24[CI - 0.35, - 0.14]) and SUDs (- 0.48[CI - 0.92, - 0.04]). All other significant therapeutic effects have either low, very low, or even no grade of evidence. Cannabinoids produce different adverse events, and there is low to moderate grade of evidence for this conclusion depending on the type of cannabinoid. CONCLUSIONS: Cannabinoids are effective therapeutics for several medical indications if their specific pharmacological properties are considered. We suggest that future systematic studies in the cannabinoid field should be based upon their specific pharmacology.",2022,Aug,BMC Med,20,1,259,,10.1186/s12916-022-02459-1,35982439,#6,Bilbao 2022,Sasha Gorrell (2025-07-09 01:22:06)(Select): pooled results from 2 AN studies; ,Pharmacotherapy,
Prevalence of co-occurring conditions in children and adults with autism spectrum disorder: A systematic review and meta-analysis.,Micai M; Fatta LM; Gila L; Caruso A; Salvitti T; Fulceri F; Ciaramella A; D'Amico R; Del Giovane C; Bertelli M; Romano G; Schünemann HJ; Scattoni ML,"This systematic review estimates the prevalence of co-occurring conditions (CCs) in children and adults with autism. A comprehensive search strategy consulting existing guidelines, diagnostic manuals, experts, carers, and autistic people was developed. PubMed and PsycInfo databases from inception to May 2022 were searched. PROSPERO registration: CRD42019132347. Two blind authors screened and extracted the data. Prevalence estimates for different CCs were summarized by using random effects models. Subgroup analyses were performed for age groups (children/adolescents vs adults) and study designs (population/registry-based vs clinical sample-based). Of 19,932 studies, 340 publications with about 590,000 participants were included and meta-analyzed to estimate the prevalence of 38-point prevalence, 27-lifetime, and 3 without distinction between point and lifetime prevalence. Point prevalence of developmental coordination disorder, sleep-wake problem, gastrointestinal problem, ADHD, anxiety disorder, overweight/obesity, feeding and eating disorder, elimination disorder, disruptive behavior, and somatic symptoms and related disorder were the most frequent CCs. Prevalence differed depending on the age group and study design. Knowing specific CCs linked to autism helps professional investigations and interventions for improved outcomes.",2023,Dec,Neurosci Biobehav Rev,155,,105436,,10.1016/j.neubiorev.2023.105436,37913872,#7,Micai 2023,,psychological comorbidities,
Psychopharmacology of eating disorders: Systematic review and meta-analysis of randomized controlled trials.,Fornaro M; Mondin AM; Billeci M; Fusco A; De Prisco M; Caiazza C; Micanti F; Calati R; Carvalho AF; de Bartolomeis A,"BACKGROUND: The concurrent assessment of weight and affective psychopathology outcomes relevant to the psychopharmacology of major eating disorders (EDs), namely anorexia nervosa (AN), bulimia nervosa (BN), and binge eating disorder (BED), warrants systematic review and meta-analysis of randomized controlled trials (RCTs). METHODS: PubMed, Scopus, and ClinicalTrials.gov were inquired from inception through August 31st, 2022, for RCTs documenting any psychopharmacological intervention for EDs diagnosed according to validated criteria and reporting weight and psychopathology changes. Adopted keywords were: ""anorexia nervosa,"" ""bulimia nervosa,"" ""binge eating disorder,"" ""antidepressant,"" ""antipsychotic,"" and ""mood stabilizer."" No language restriction applied. RESULTS: 5122 records were identified, and 203 full-texts were reviewed. Sixty-two studies entered the qualitative synthesis (AN = 22, BN = 23, BED = 17), of which 22 entered the meta-analysis (AN = 9, BN = 10, BED = 3). Concerning BMI increase in AN, olanzapine outperformed placebo (Hedges'g = 0.283, 95%C·I. = 0.051-0.515, I(2) = 0 %; p = .017), whereas fluoxetine failed (Hedges'g = 0.351, 95%C.I. = -0.248 to 0.95, I(2) = 63.37 %; p = .251). Fluoxetine not significantly changed weight (Hedges'g = 0.147, 95%C.I. = -0.157-0.451, I(2) = 0 %; p = .343), reducing binging (Hedges'g = 0.203, 95%C.I. = 0.007-0.399, I(2) = 0 %; p = .042), and purging episodes (Hedges'g = 0.328, 95%C.I. = -0.061-0.717, I(2) = 58.97 %; p = .099) in BN. Lisdexamfetamine reduced weight (Hedges'g = 0.259, 95%C.I. = 0.071-0.446, I(2) = 0 %; p = .007) and binging (Hedges'g = 0.571, 95%C.I. = 0.282-0.860, I(2) = 53.84 %; p < .001) in BED. LIMITATIONS: Small sample size, short duration, and lack of reliable operational definitions affect most of the included sponsored RCTs. CONCLUSIONS: The efficacy of different drugs varies across different EDs, warranting additional primary studies recording broad psychopathological and cardiometabolic outcomes besides weight, especially against established psychotherapy interventions.",2023,Oct,J Affect Disord,338,,526-545,,10.1016/j.jad.2023.06.068,37393954,#9,Fornaro 2023,,Pharmacotherapy,
An update on the prevalence of eating disorders in the general population: a systematic review and meta-analysis.,Qian J; Wu Y; Liu F; Zhu Y; Jin H; Zhang H; Wan Y; Li C; Yu D,"OBJECTIVE: To update the prevalence of eating disorders in the general population before 2021 and to analyze the distribution characteristics at different times and in different regions and sexes, as well as the diagnostic criteria. METHODS: Based on the method from a previous report by the authors, studies were identified from the following databases: PubMed/Medline, PsycINFO, ISI Web of Knowledge, Ovid and the 4 most important Chinese databases. Articles in English and Chinese before 2021 were retrieved. The data retrieved at this time were pooled with the data from a previous report for analyses. RESULTS: Thirty-three studies were identified, which included 18 studies supplemented in this retrieval. The pooled lifetime and 12-month prevalence of eating disorders were 0.91% (95% CI, 0.48-1.71) and 0.43% (95% CI, 0.18-0.78), respectively. The pooled lifetime and 12-month prevalence of the subgroup EDs (any), which covers all types of eating disorders, were 1.69% and 0.72%, respectively. The lifetime prevalence of AN, BN and BED was 0.16% (95% CI, 0.06-0.31), 0.63% (95% CI, 0.33-1.02) and 1.53% (95% CI, 1.00-2.17), respectively. The lifetime prevalence of EDs in Western countries was 1.89%, and was high at 2.58% in females. Prevalence studies using DSM-5 criteria were scarce. CONCLUSIONS: The prevalence of eating disorders might be underestimated thus far. Not all types of EDs were included in a majority of epidemiological surveys, and the prevalence rates of the new types of EDs were significantly higher. Eating disorders were especially common in Western countries and in females. New diagnostic criteria should be used to comprehensively assess all types of eating disorders. LEVEL OF EVIDENCE: 1, systematic review and meta-analysis.",2022,Mar,Eat Weight Disord,27,2,415-428,,10.1007/s40519-021-01162-z,33834377,#13,Qian 2022,,Prevalence rates,
Eating Disorders and Dental Erosion: A Systematic Review.,Nijakowski K; Jankowski J; Gruszczyński D; Surdacka A,"Both eating disorders and dental erosion are increasingly affecting adolescents and young adults. Thus, our systematic review was designed to answer the question: ""Is there a relationship between dental erosion and eating disorders?"" Following the inclusion and exclusion criteria, 31 studies were included in this systematic review (according to the PRISMA statement guidelines). Based on the meta-analysis, 54.4% of patients with bulimia nervosa and 26.7% with anorexia nervosa experienced tooth erosion. For the whole group of 1699 patients with eating disorders, erosive lesions were observed in 42.1% of patients. Bulimics were more than 10 times more likely to experience dental erosion compared to healthy individuals (OR = 10.383 [95%CI: 4.882-22.086]). Similarly, more than 16 times increased odds of tooth erosion were found in patients with self-induced vomiting (OR = 16.176 [95%CI: 1.438-181.918]). In conclusion, eating disorders are associated with an increased risk of developing erosive lesions, especially in patients with bulimia nervosa.",2023,Sep,J Clin Med,12,19,,,10.3390/jcm12196161,37834805,#15,Nijakowski 2023,,Medical complications,
Efficacy of pharmacotherapies for bulimia nervosa: a systematic review and meta-analysis.,Yu S; Zhang Y; Shen C; Shao F,"OBJECTIVE: The main purpose was to evaluate the efficacy and tolerability of different medications used to treat bulimia nervosa (BN). METHODS: Randomized controlled trials (RCTs) were identified from published sources through searches in PubMed, Cochrane Library, Web of Science, and Embase from inception to November 2022. Primary outcomes were changes in the frequency of binge eating episodes and vomiting episodes from baseline to endpoint. Secondary outcomes were differences in the improvement of scores in depressive symptoms, tolerability (dropout due to adverse events) and weight change. RESULTS: The literature search ultimately included 11 drugs, 33 studies and 6 types of drugs, 8 trials with TCAs (imipramine, desipramine), 14 with SSRIs (fluoxetine, citalopram and fluvoxamine), 6 with MAOIs (phenelzine, moclobemide and brofaromine), 3 with antiepileptic drugs (topiramate), 1 with mood stabilizers (lithium), and 1 with amphetamine-type appetite suppressant (fenfluramine). The reduction in binge eating episodes was more likely due to these drugs than the placebo, and the SMD was -0.4 (95% CI -0.61 ~ -0.19); the changes in the frequency of vomiting episodes (SMD = -0.16, 95% CI -0.3 ~ -0.03); weight (WMD = -3.05, 95% CI -5.97 ~ -0.13); and depressive symptoms (SMD = -0.32, 95% CI -0.51 ~ -0.13). However, no significant difference was found in dropout due to adverse events (RR = 1.66, 95% CI 1.14 ~ 2.41). CONCLUSIONS: This meta-analysis indicates that most pharmacotherapies decreased the frequency of binge-eating and vomiting episodes, body weight, and depressive symptoms in BN patients, but the efficacy was not significant. In each drug the efficacy is different, treating different aspects, different symptoms to improve the clinical performance of bulimia nervosa.",2023,Dec,BMC Pharmacol Toxicol,24,1,72,,10.1186/s40360-023-00713-7,38042827,#16,Yu 2023,,Bulimia; Pharmacotherapy,
Prevention of eating disorders at universities: A systematic review and meta-analysis.,Harrer M; Adam SH; Messner EM; Baumeister H; Cuijpers P; Bruffaerts R; Auerbach RP; Kessler RC; Jacobi C; Taylor CB; Ebert DD,"BACKGROUND: Eating problems are highly prevalent among young adults. Universities could be an optimal setting to prevent the onset of eating disorders through psychological intervention. As part of the World Mental Health-International College Student initiative, this systematic review and meta-analysis synthesizes data on the efficacy of eating disorder prevention programs targeting university students. METHOD: A systematic literature search of bibliographical databases (CENTRAL, MEDLINE, PsycINFO) for randomized trials comparing psychological preventive interventions for eating disorders targeting university students with psychoeducation or inactive controls was performed on October 22, 2019. RESULTS: Twenty-seven studies were included. Thirteen (48.1%) were rated to have a low risk of bias. The relative risk of developing a subthreshold or full-blown eating disorder was incidence rate ratio = 0.62 (95% CI [0.44, 0.87], n (c) = 8, numbers-needed-to-treat [NNT] = 26.08; standardized clinical interviews only), indicating a 38% decrease in incidence in the intervention groups compared to controls. Small to moderate between-group effects at posttest were found on eating disorder symptoms (g = 0.35, 95% CI [0.24, 0.46], NNT = 5.10, n (c) = 26), dieting (g = 0.43, 95% CI [0.29, 0.57], NNT = 4.17, n (c) = 21), body dissatisfaction (g = 0.40, 95% CI [0.27, 0.53], NNT = 4.48, n (c) = 25), drive for thinness (g = 0.43, 95% CI [0.27, 0.59], NNT = 4.23, n (c) = 12), weight concerns (g = 0.33, 95% CI [0.10, 0.57], NNT = 5.35, n (c) = 13), and affective symptoms (g = 0.27, 95% CI [0.15, 0.38], NNT = 6.70, n (c) = 18). The effects on bulimia nervosa symptoms were not significant. Heterogeneity was moderate across comparisons. DISCUSSION: Eating disorder prevention on campus can have significant, small-to-moderate effects on eating disorder symptoms and risk factors. Results also suggest that the prevention of subthreshold and full-syndrome eating disorders is feasible using such interventions. More research is needed to identify ways to motivate students to use preventive eating disorder interventions. ANTECEDENTES: Los trastornos de la conducta alimentaria son altamente prevalentes entre los adultos jóvenes. Las universidades podrían ser un entorno óptimo para prevenir la aparición de trastornos alimentarios a través de la intervención psicológica. Como parte de la iniciativa World Mental Health-International College Student, esta revisión sistemática y meta-análisis sintetiza datos sobre la eficacia de los programas de prevención de trastornos alimentarios dirigidos a estudiantes universitarios. MÉTODO: Una búsqueda bibliográfica sistemática de datos bibliográficas (CENTRAL, MEDLINE, PsycINFO) para ensayos aleatorios que comparaban intervenciones preventivas psicológicas para trastornos alimentarios dirigidos a estudiantes universitarios con psicoeducación o controles inactivos fue realizada hasta el 22 de octubre de 2019. RESULTADOS: Se incluyeron 27 estudios. Trece (48,1%) fueron calificados como de bajo riesgo de sesgo. El riesgo relativo de desarrollar un trastorno de la conducta alimentaria subclínico (parcial) o completo fue IRR = 0.62 (95% CI [0.44, 0.87], n(c) = 8, NNT = 26.08; sólo entrevistas clínicas estandarizadas), lo que indica una disminución del 38% en la incidencia en los grupos de intervención en comparación con los controles. Se encontraron efectos pequeños a moderados entre los grupos en la post-prueba en los síntomas del trastorno alimentario (g = 0.35, 95% CI [0.24, 0.46], NNT = 5.10, n(c) = 26), dieta (g = 0.43, 95% CI [0.29, 0.57], NNT = 4.17, n(c) = 21), insatisfacción corporal (g = 0.40, 95% CI [0.27, 0.53], NNT = 4.48, n(c) = 25), impulso por delgadez (g = 0.43, 95% CI [0.27, 0.59], NNT = 4.23, n(c) = 12), problemas de peso (g = 0.33, 95% CI [0.10, 0.57], NNT = 5.35, n(c) = 13) y síntomas afectivos (g = 0.27, 95% CI [0.15, 0.38], NNT = 6.70, n(c) = 18). Los efectos sobre los síntomas de la bulimia nervosa no fueron significativos. La heterogeneidad fue moderada en las comparaciones. DISCUSIÓN: La prevención de los trastornos de la conducta alimentaria en el campus universitario puede tener efectos significativos, de pequeños a moderados, sobre los síntomas del trastorno alimentario y los factores de riesgo. Los resultados también sugieren que la prevención de los trastornos alimentarios subclínicos o parciales y síndromes completos es factible utilizando tales intervenciones. Se necesita más investigación para identificar formas de motivar a los estudiantes a usar intervenciones preventivas para los trastornos de la conducta alimentaria.",2020,Jun,Int J Eat Disord,53,6,813-833,,10.1002/eat.23224,31943298,#18,Harrer 2020,,Prevention,
Effectiveness of olanzapine in the treatment of anorexia nervosa: A systematic review and meta-analysis.,Han R; Bian Q; Chen H,"OBJECTIVE: Anorexia nervosa (AN) is a severe psychiatric disorder characterized by starvation and malnutrition, a high incidence of coexisting psychiatric conditions, and treatment resistance. The effect of pharmacotherapy has been controversial. METHOD: A systematic review was conducted for evidence of an effect of olanzapine versus placebo in adults or its effect as adjuvant treatment of AN in adolescents. RESULTS: A total of seven articles (304 patients with AN) were identified. There were four double-blind, randomized studies examining the effect of olanzapine in the treatment of AN. The mean difference in body mass index (BMI) at the end of treatment between olanzapine and placebo was 0.67 kg/m(2) (95% confidence interval (CI) 0.15-1.18 kg/m(2) ; p = 0.01; I(2)  = 0%, p for heterogeneity < 0.79). The olanzapine groups showed a significant increase in BMI of 0.68 kg/m(2) (95% CI 0.22-1.13 kg/m(2) ; p < 0.001; I(2)  = 0%, p for heterogeneity = 0.74) compared to the placebo groups. Only two studies examined the effect of olanzapine as adjuvant treatment in adolescents and showed an increase in BMI of 0.66 kg/m(2) (95% CI -0.36 to 1.67 kg/m(2) ; p = 0.21; I(2)  = 11%, p for heterogeneity = 0.32). DISCUSSION: Olanzapine showed efficacy in the treatment of AN with an increased BMI at the end of treatment in adults. The effect of olanzapine as adjuvant treatment in adolescents remains unclear.",2022,Feb,Brain Behav,12,2,e2498,,10.1002/brb3.2498,35020271,#22,Han 2022,,Anorexia; Pharmacotherapy,
